Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
209921.0,USB-C Charging Cable,1.0,11.95,06/23/19 19:34,"950 Walnut St, Portland, ME 04101"
209922.0,Macbook Pro Laptop,1.0,1700.0,06/30/19 10:05,"80 4th St, San Francisco, CA 94016"
209923.0,ThinkPad Laptop,1.0,999.99,06/24/19 20:18,"402 Jackson St, Los Angeles, CA 90001"
209924.0,27in FHD Monitor,1.0,149.99,06/05/19 10:21,"560 10th St, Seattle, WA 98101"
209925.0,Bose SoundSport Headphones,1.0,99.99,06/25/19 18:58,"545 2nd St, San Francisco, CA 94016"
209926.0,Apple Airpods Headphones,1.0,150.0,06/28/19 20:04,"386 Lake St, Seattle, WA 98101"
209927.0,Lightning Charging Cable,1.0,14.95,06/28/19 00:07,"29 Lincoln St, Los Angeles, CA 90001"
209928.0,Apple Airpods Headphones,1.0,150.0,06/16/19 21:30,"350 9th St, New York City, NY 10001"
209929.0,Wired Headphones,1.0,11.99,06/28/19 10:56,"612 Meadow St, Portland, OR 97035"
209930.0,27in FHD Monitor,1.0,149.99,06/02/19 11:22,"625 Ridge St, Los Angeles, CA 90001"
209931.0,Apple Airpods Headphones,1.0,150.0,06/24/19 13:55,"761 14th St, New York City, NY 10001"
209932.0,Flatscreen TV,1.0,300.0,06/12/19 14:36,"858 8th St, Boston, MA 02215"
209933.0,AA Batteries (4-pack),1.0,3.84,06/07/19 15:39,"932 Lakeview St, San Francisco, CA 94016"
209934.0,AAA Batteries (4-pack),1.0,2.99,06/13/19 20:53,"387 Dogwood St, Boston, MA 02215"
209935.0,AAA Batteries (4-pack),1.0,2.99,06/09/19 11:13,"530 Cedar St, Boston, MA 02215"
209936.0,34in Ultrawide Monitor,1.0,379.99,06/15/19 12:21,"769 Dogwood St, Dallas, TX 75001"
209937.0,AA Batteries (4-pack),1.0,3.84,06/29/19 18:01,"675 Maple St, Dallas, TX 75001"
209938.0,iPhone,1.0,700.0,06/15/19 12:29,"766 Meadow St, Seattle, WA 98101"
209938.0,Wired Headphones,1.0,11.99,06/15/19 12:29,"766 Meadow St, Seattle, WA 98101"
209939.0,Google Phone,1.0,600.0,06/08/19 16:55,"313 South St, San Francisco, CA 94016"
209940.0,34in Ultrawide Monitor,1.0,379.99,06/26/19 15:24,"990 South St, Atlanta, GA 30301"
209941.0,Wired Headphones,1.0,11.99,06/27/19 11:18,"486 13th St, Boston, MA 02215"
209942.0,27in 4K Gaming Monitor,1.0,389.99,06/19/19 13:52,"874 Wilson St, Austin, TX 73301"
209943.0,AAA Batteries (4-pack),3.0,2.99,06/23/19 16:19,"158 Willow St, Los Angeles, CA 90001"
209944.0,27in FHD Monitor,1.0,149.99,06/02/19 19:10,"916 Lake St, Austin, TX 73301"
209945.0,AA Batteries (4-pack),1.0,3.84,06/28/19 08:53,"211 12th St, San Francisco, CA 94016"
209946.0,Google Phone,1.0,600.0,06/28/19 22:13,"66 Cherry St, San Francisco, CA 94016"
209947.0,Apple Airpods Headphones,1.0,150.0,06/06/19 22:41,"7 Lakeview St, San Francisco, CA 94016"
209948.0,Macbook Pro Laptop,1.0,1700.0,06/09/19 01:48,"101 Spruce St, Atlanta, GA 30301"
209949.0,Google Phone,1.0,600.0,06/23/19 07:45,"637 12th St, San Francisco, CA 94016"
209949.0,USB-C Charging Cable,1.0,11.95,06/23/19 07:45,"637 12th St, San Francisco, CA 94016"
209950.0,Wired Headphones,2.0,11.99,06/01/19 18:03,"689 Walnut St, Los Angeles, CA 90001"
209951.0,27in 4K Gaming Monitor,1.0,389.99,06/30/19 13:04,"998 Johnson St, New York City, NY 10001"
209952.0,20in Monitor,1.0,109.99,06/26/19 17:48,"314 Willow St, Dallas, TX 75001"
209953.0,Google Phone,1.0,600.0,06/16/19 16:59,"753 6th St, Dallas, TX 75001"
209954.0,iPhone,1.0,700.0,06/16/19 07:21,"599 2nd St, San Francisco, CA 94016"
209955.0,AA Batteries (4-pack),1.0,3.84,06/15/19 21:25,"549 2nd St, Atlanta, GA 30301"
209956.0,AA Batteries (4-pack),2.0,3.84,06/26/19 15:23,"910 Jackson St, Seattle, WA 98101"
209957.0,AA Batteries (4-pack),1.0,3.84,06/13/19 12:23,"545 Dogwood St, Los Angeles, CA 90001"
209958.0,Wired Headphones,1.0,11.99,06/06/19 12:09,"326 Hickory St, Los Angeles, CA 90001"
209959.0,USB-C Charging Cable,1.0,11.95,06/01/19 15:48,"88 River St, Atlanta, GA 30301"
209960.0,USB-C Charging Cable,1.0,11.95,06/22/19 11:53,"333 Sunset St, Dallas, TX 75001"
209960.0,AA Batteries (4-pack),1.0,3.84,06/22/19 11:53,"333 Sunset St, Dallas, TX 75001"
209961.0,iPhone,1.0,700.0,06/01/19 23:00,"482 South St, Austin, TX 73301"
209961.0,Lightning Charging Cable,1.0,14.95,06/01/19 23:00,"482 South St, Austin, TX 73301"
209962.0,USB-C Charging Cable,1.0,11.95,06/23/19 10:58,"441 Cherry St, New York City, NY 10001"
209963.0,Lightning Charging Cable,1.0,14.95,06/13/19 18:58,"551 Hill St, Boston, MA 02215"
209964.0,USB-C Charging Cable,2.0,11.95,06/11/19 14:30,"822 8th St, Los Angeles, CA 90001"
209965.0,20in Monitor,1.0,109.99,06/24/19 14:00,"910 North St, San Francisco, CA 94016"
209966.0,Lightning Charging Cable,1.0,14.95,06/20/19 09:46,"743 Adams St, New York City, NY 10001"
209967.0,AA Batteries (4-pack),2.0,3.84,06/21/19 21:18,"584 Chestnut St, San Francisco, CA 94016"
209968.0,Apple Airpods Headphones,1.0,150.0,06/23/19 13:06,"120 Church St, Dallas, TX 75001"
209969.0,Apple Airpods Headphones,1.0,150.0,06/21/19 15:55,"133 Sunset St, Los Angeles, CA 90001"
209970.0,AAA Batteries (4-pack),1.0,2.99,06/08/19 20:58,"181 Meadow St, Seattle, WA 98101"
209971.0,AA Batteries (4-pack),1.0,3.84,06/22/19 15:11,"440 Maple St, Dallas, TX 75001"
209972.0,Wired Headphones,1.0,11.99,06/14/19 17:09,"690 11th St, New York City, NY 10001"
209973.0,Bose SoundSport Headphones,1.0,99.99,06/06/19 12:20,"658 Highland St, Austin, TX 73301"
209974.0,USB-C Charging Cable,1.0,11.95,06/11/19 10:06,"555 9th St, New York City, NY 10001"
209975.0,AA Batteries (4-pack),3.0,3.84,06/05/19 21:25,"152 Johnson St, New York City, NY 10001"
209976.0,Apple Airpods Headphones,1.0,150.0,06/26/19 11:52,"966 Washington St, Atlanta, GA 30301"
209977.0,AA Batteries (4-pack),1.0,3.84,06/01/19 06:28,"96 14th St, Los Angeles, CA 90001"
209978.0,Lightning Charging Cable,1.0,14.95,06/05/19 13:50,"57 1st St, Los Angeles, CA 90001"
209979.0,USB-C Charging Cable,1.0,11.95,06/24/19 09:42,"979 2nd St, San Francisco, CA 94016"
209980.0,Bose SoundSport Headphones,1.0,99.99,06/28/19 20:28,"875 Forest St, New York City, NY 10001"
209981.0,iPhone,1.0,700.0,06/05/19 19:25,"898 14th St, Los Angeles, CA 90001"
209982.0,27in 4K Gaming Monitor,1.0,389.99,06/17/19 19:31,"315 Forest St, New York City, NY 10001"
209983.0,Macbook Pro Laptop,1.0,1700.0,06/22/19 16:25,"702 Center St, Seattle, WA 98101"
209984.0,USB-C Charging Cable,1.0,11.95,06/03/19 06:50,"36 7th St, Seattle, WA 98101"
209985.0,Apple Airpods Headphones,1.0,150.0,06/05/19 22:18,"54 12th St, Portland, OR 97035"
209986.0,20in Monitor,1.0,109.99,06/23/19 16:49,"11 Wilson St, New York City, NY 10001"
209987.0,AAA Batteries (4-pack),3.0,2.99,06/03/19 03:22,"76 River St, Los Angeles, CA 90001"
209988.0,Wired Headphones,1.0,11.99,06/27/19 18:04,"403 Main St, San Francisco, CA 94016"
209989.0,iPhone,1.0,700.0,06/19/19 23:34,"285 8th St, Los Angeles, CA 90001"
209990.0,Google Phone,1.0,600.0,06/16/19 20:31,"557 Wilson St, Austin, TX 73301"
209991.0,AAA Batteries (4-pack),1.0,2.99,06/02/19 19:00,"835 Chestnut St, Boston, MA 02215"
209992.0,Apple Airpods Headphones,1.0,150.0,06/21/19 07:51,"207 13th St, Boston, MA 02215"
209993.0,USB-C Charging Cable,1.0,11.95,06/04/19 18:14,"810 Meadow St, Dallas, TX 75001"
209994.0,Lightning Charging Cable,1.0,14.95,06/28/19 21:01,"679 Washington St, Boston, MA 02215"
209995.0,27in 4K Gaming Monitor,1.0,389.99,06/13/19 19:16,"890 Washington St, Austin, TX 73301"
209996.0,Google Phone,1.0,600.0,06/13/19 08:21,"965 Johnson St, Austin, TX 73301"
209997.0,AA Batteries (4-pack),1.0,3.84,06/19/19 11:23,"594 Lake St, New York City, NY 10001"
209998.0,Bose SoundSport Headphones,1.0,99.99,06/17/19 23:15,"988 Madison St, San Francisco, CA 94016"
209999.0,Bose SoundSport Headphones,1.0,99.99,06/16/19 08:37,"949 10th St, Dallas, TX 75001"
210000.0,iPhone,1.0,700.0,06/06/19 19:17,"534 Park St, Los Angeles, CA 90001"
210001.0,AA Batteries (4-pack),1.0,3.84,06/22/19 12:47,"171 Madison St, Portland, OR 97035"
210002.0,AAA Batteries (4-pack),1.0,2.99,06/26/19 13:28,"124 Park St, San Francisco, CA 94016"
210003.0,Bose SoundSport Headphones,1.0,99.99,06/26/19 15:09,"928 West St, Boston, MA 02215"
210004.0,AAA Batteries (4-pack),1.0,2.99,06/23/19 14:40,"868 8th St, San Francisco, CA 94016"
210005.0,AAA Batteries (4-pack),1.0,2.99,06/12/19 19:53,"532 Willow St, Atlanta, GA 30301"
210006.0,Lightning Charging Cable,1.0,14.95,06/21/19 19:02,"186 14th St, Boston, MA 02215"
210007.0,iPhone,1.0,700.0,06/30/19 09:06,"133 Highland St, Dallas, TX 75001"
210008.0,27in FHD Monitor,1.0,149.99,06/19/19 00:07,"433 14th St, Portland, OR 97035"
210009.0,Bose SoundSport Headphones,1.0,99.99,06/29/19 09:24,"35 West St, Los Angeles, CA 90001"
210010.0,USB-C Charging Cable,1.0,11.95,06/01/19 10:56,"469 Pine St, Austin, TX 73301"
210011.0,AA Batteries (4-pack),1.0,3.84,06/13/19 15:10,"615 Forest St, Atlanta, GA 30301"
210012.0,34in Ultrawide Monitor,1.0,379.99,06/04/19 17:21,"507 1st St, San Francisco, CA 94016"
210013.0,AA Batteries (4-pack),2.0,3.84,06/17/19 17:27,"820 5th St, New York City, NY 10001"
210014.0,Wired Headphones,1.0,11.99,06/28/19 17:08,"465 Meadow St, Portland, OR 97035"
210015.0,Wired Headphones,1.0,11.99,06/06/19 18:12,"559 11th St, Atlanta, GA 30301"
210016.0,AA Batteries (4-pack),2.0,3.84,06/22/19 22:17,"34 14th St, San Francisco, CA 94016"
210017.0,AAA Batteries (4-pack),1.0,2.99,06/18/19 17:03,"624 Adams St, Atlanta, GA 30301"
210018.0,Lightning Charging Cable,1.0,14.95,06/14/19 15:01,"684 Maple St, San Francisco, CA 94016"
210019.0,Lightning Charging Cable,1.0,14.95,06/27/19 17:10,"505 Maple St, New York City, NY 10001"
210020.0,Apple Airpods Headphones,1.0,150.0,06/26/19 15:02,"920 Washington St, Los Angeles, CA 90001"
210021.0,AAA Batteries (4-pack),1.0,2.99,06/07/19 23:22,"627 Spruce St, Boston, MA 02215"
210022.0,Lightning Charging Cable,1.0,14.95,06/29/19 08:19,"943 9th St, San Francisco, CA 94016"
210023.0,AA Batteries (4-pack),3.0,3.84,06/12/19 21:24,"838 Dogwood St, Los Angeles, CA 90001"
210024.0,AAA Batteries (4-pack),1.0,2.99,06/19/19 20:21,"649 7th St, Dallas, TX 75001"
210025.0,20in Monitor,1.0,109.99,06/02/19 16:59,"940 14th St, New York City, NY 10001"
210026.0,Bose SoundSport Headphones,1.0,99.99,06/12/19 13:42,"878 4th St, San Francisco, CA 94016"
210027.0,Macbook Pro Laptop,1.0,1700.0,06/05/19 14:35,"763 2nd St, Los Angeles, CA 90001"
210028.0,27in FHD Monitor,1.0,149.99,06/15/19 18:24,"297 12th St, Dallas, TX 75001"
210029.0,Bose SoundSport Headphones,1.0,99.99,06/05/19 15:21,"509 4th St, Dallas, TX 75001"
210030.0,Macbook Pro Laptop,1.0,1700.0,06/03/19 09:11,"479 Willow St, Los Angeles, CA 90001"
210031.0,AAA Batteries (4-pack),1.0,2.99,06/08/19 11:01,"641 Lincoln St, Portland, OR 97035"
210032.0,AA Batteries (4-pack),1.0,3.84,06/27/19 11:59,"569 4th St, Atlanta, GA 30301"
210033.0,AA Batteries (4-pack),2.0,3.84,06/15/19 18:25,"749 North St, New York City, NY 10001"
210034.0,27in 4K Gaming Monitor,1.0,389.99,06/14/19 18:07,"476 1st St, Atlanta, GA 30301"
210035.0,27in FHD Monitor,1.0,149.99,06/30/19 14:02,"386 1st St, Dallas, TX 75001"
210036.0,AA Batteries (4-pack),1.0,3.84,06/08/19 19:05,"598 Meadow St, Boston, MA 02215"
210037.0,AAA Batteries (4-pack),1.0,2.99,06/26/19 09:53,"524 6th St, New York City, NY 10001"
